"Dist Code","Year","State Code","State Name","Dist Name","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)"
"42","1966","6","Madhya Pradesh","Shajapur","31.0","19.0"
"42","1967","6","Madhya Pradesh","Shajapur","45.0","36.0"
"42","1968","6","Madhya Pradesh","Shajapur","57.5","42.0"
"42","1969","6","Madhya Pradesh","Shajapur","59.6","41.5"
"42","1970","6","Madhya Pradesh","Shajapur","69.1","69.6"
"42","1971","6","Madhya Pradesh","Shajapur","77.9","103.8"
"42","1972","6","Madhya Pradesh","Shajapur","56.0","49.8"
"42","1973","6","Madhya Pradesh","Shajapur","87.6","92.0"
"42","1974","6","Madhya Pradesh","Shajapur","49.6","71.1"
"42","1975","6","Madhya Pradesh","Shajapur","70.1","91.4"
"42","1976","6","Madhya Pradesh","Shajapur","54.8","76.5"
"42","1977","6","Madhya Pradesh","Shajapur","60.2","72.4"
"42","1978","6","Madhya Pradesh","Shajapur","73.0","92.0"
"42","1979","6","Madhya Pradesh","Shajapur","48.7","58.2"
"42","1980","6","Madhya Pradesh","Shajapur","47.6","55.6"
"42","1981","6","Madhya Pradesh","Shajapur","48.1","60.6"
"42","1982","6","Madhya Pradesh","Shajapur","48.7","78.2"
"42","1983","6","Madhya Pradesh","Shajapur","53.4","69.3"
"42","1984","6","Madhya Pradesh","Shajapur","50.4","97.9"
"42","1985","6","Madhya Pradesh","Shajapur","55.8","92.4"
"42","1986","6","Madhya Pradesh","Shajapur","49.0","95.0"
"42","1987","6","Madhya Pradesh","Shajapur","51.0","91.0"
"42","1988","6","Madhya Pradesh","Shajapur","56.8","117.6"
"42","1989","6","Madhya Pradesh","Shajapur","34.0","64.0"
"42","1990","6","Madhya Pradesh","Shajapur","68.1","157.0"
"42","1991","6","Madhya Pradesh","Shajapur","61.9","153.1"
"42","1992","6","Madhya Pradesh","Shajapur","43.4","92.1"
"42","1993","6","Madhya Pradesh","Shajapur","79.3","218.1"
"42","1994","6","Madhya Pradesh","Shajapur","78.5","196.8"
"42","1995","6","Madhya Pradesh","Shajapur","65.8","148.9"
"42","1996","6","Madhya Pradesh","Shajapur","81.3","203.3"
"42","1997","6","Madhya Pradesh","Shajapur","100.7","199.4"
"42","1998","6","Madhya Pradesh","Shajapur","100.7","245.8"
"42","1999","6","Madhya Pradesh","Shajapur","109.4","285.4"
"42","2000","6","Madhya Pradesh","Shajapur","27.6","50.3"
"42","2001","6","Madhya Pradesh","Shajapur","42.8","69.1"
"42","2002","6","Madhya Pradesh","Shajapur","37.1","56.1"
"42","2003","6","Madhya Pradesh","Shajapur","77.5","148.3"
"42","2004","6","Madhya Pradesh","Shajapur","85.38","180.24"
"42","2005","6","Madhya Pradesh","Shajapur","52.03","93.03"
"42","2006","6","Madhya Pradesh","Shajapur","86.54","196.8"
"42","2007","6","Madhya Pradesh","Shajapur","87.5","164.9"
"42","2008","6","Madhya Pradesh","Shajapur","66.0","134.8"
"42","2009","6","Madhya Pradesh","Shajapur","83.9","221.4"
"42","2010","6","Madhya Pradesh","Shajapur","90.8","182.1"
"42","2011","6","Madhya Pradesh","Shajapur","99.0","297.7"
"42","2012","6","Madhya Pradesh","Shajapur","126.24","260.68"
"42","2013","6","Madhya Pradesh","Shajapur","166.8","376.83"
"42","2014","6","Madhya Pradesh","Shajapur","118.0","362.0"
"42","2015","6","Madhya Pradesh","Shajapur","171.0","552.0"
"42","2016","6","Madhya Pradesh","Shajapur","186.0","636.0"
"42","2017","6","Madhya Pradesh","Shajapur","125.8","471.6"
